agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
516,113520.0,1.0,599,599,1758875345353,true
517,113537.5,6.0,600,600,1758875345998,false
518,113542.5,1.0,601,601,1758875346324,false
519,113542.5,6.0,602,602,1758875350159,false
520,113554.4,1.0,603,603,1758875350447,false
521,113554.3,15.0,604,604,1758875350515,true
522,113554.3,1.0,605,605,1758875350711,true
523,113554.3,30.0,606,606,1758875350838,true
524,113554.3,1.0,607,607,1758875356072,true
525,113563.4,1.0,608,608,1758875359365,true
526,113563.4,1.0,609,609,1758875361739,true
527,113542.4,1.0,610,610,1758875366095,true
528,113586.2,103.0,611,611,1758875366588,false
529,113587.5,1.0,612,612,1758875366588,false
530,113602.8,103.0,613,613,1758875366588,false
531,113602.8,429.0,614,615,1758875366592,true
532,113602.8,30.0,616,616,1758875366957,true
533,113602.8,30.0,617,617,1758875367289,true
534,113602.8,30.0,618,618,1758875367643,true
535,113602.8,117.0,619,620,1758875367955,true
536,113602.8,30.0,621,621,1758875368308,true
537,113602.8,30.0,622,622,1758875368602,true
538,113602.8,30.0,623,623,1758875368951,true
539,113602.8,30.0,624,624,1758875369257,true
540,113602.8,117.0,625,626,1758875369544,true
541,113602.8,30.0,627,627,1758875369883,true
542,113602.8,24.0,628,628,1758875370210,true
543,113568.8,1.0,629,629,1758875370468,true
544,113606.0,103.0,630,630,1758875372859,false
545,113606.0,185.0,631,631,1758875372864,true
546,113606.0,6.0,632,632,1758875373199,true
547,113606.0,112.0,633,634,1758875373448,true
548,113606.0,30.0,635,635,1758875373817,true
549,113606.0,30.0,636,636,1758875374125,true
550,113606.0,30.0,637,637,1758875374482,true
551,113606.0,31.0,638,639,1758875374829,true
552,113606.0,1.0,640,640,1758875374987,true
553,113606.0,1.0,641,641,1758875379199,true
554,113606.0,30.0,642,642,1758875379920,true
555,113606.0,30.0,643,643,1758875380275,true
556,113606.0,30.0,644,644,1758875380621,true
557,113606.0,30.0,645,645,1758875380922,true
558,113606.0,30.0,646,646,1758875381227,true
559,113606.0,30.0,647,647,1758875381559,true
560,113606.0,30.0,648,648,1758875381911,true
561,113606.0,190.0,649,650,1758875382158,true
562,113606.0,30.0,651,651,1758875382606,true
563,113606.0,30.0,652,652,1758875382956,true
564,113606.0,30.0,653,653,1758875383280,true
565,113606.0,31.0,654,655,1758875383560,true
566,113606.0,88.0,656,657,1758875383741,true
567,113606.0,30.0,658,658,1758875383938,true
568,113606.0,109.0,659,659,1758875384399,true
569,113606.0,82.0,660,660,1758875384566,true
570,113606.0,86.0,661,661,1758875384723,true
571,113606.0,36.0,662,663,1758875384837,true
572,113606.0,83.0,664,664,1758875384945,true
573,113606.0,30.0,665,665,1758875385208,true
574,113606.0,30.0,666,666,1758875385557,true
575,113606.0,30.0,667,667,1758875385851,true
576,113606.0,30.0,668,668,1758875386193,true
577,113606.0,30.0,669,669,1758875386516,true
578,113606.0,97.0,670,670,1758875386679,true
579,113606.0,30.0,671,671,1758875386867,true
580,113606.0,30.0,672,672,1758875387212,true
581,113606.0,30.0,673,673,1758875387561,true
582,113606.0,31.0,674,675,1758875387882,true
583,113606.0,30.0,676,676,1758875388250,true
584,113606.0,30.0,677,677,1758875388529,true
585,113606.0,99.0,678,678,1758875389551,true
586,113606.0,122.0,679,679,1758875390045,true
587,113606.0,58.0,680,681,1758875390642,true
588,113597.9,1.0,682,682,1758875393587,true
589,113587.2,4.0,683,684,1758875393809,false
590,113587.1,1.0,685,685,1758875397957,true
591,113587.1,1.0,686,686,1758875402603,true
592,113587.2,1.0,687,687,1758875406235,false
593,113596.2,1.0,688,688,1758875406899,true
594,113596.2,1.0,689,689,1758875407137,true
595,113587.1,1.0,690,690,1758875411524,true
596,113587.1,1.0,691,691,1758875415907,true
597,113587.1,1.0,692,692,1758875421639,true
